topSoil,textureClass,thetaR,thetaS,alpha,n,m,L,kSat
1,C,0.025,0.403,0.0383,1.3774,0.274,1.25,60
1,M,0.01,0.439,0.0314,1.1804,0.1528,-2.3421,12.061
1,MF,0.01,0.43,0.0083,1.2539,0.2025,-0.5884,2.272
1,F,0.01,0.52,0.0367,1.1012,0.0919,-1.9772,24.8
1,VF,0.01,0.614,0.0265,1.1033,0.0936,2.5,15
0,C,0.025,0.366,0.043,1.5206,0.3424,1.25,70
0,M,0.01,0.392,0.0249,1.1689,0.1445,-0.7437,10.755
0,MF,0.01,0.412,0.0082,1.2179,0.1789,0.5,4
0,F,0.01,0.481,0.0198,1.0861,0.0793,-3.7124,8.5
0,VF,0.01,0.538,0.0168,1.073,0.068,0.0001,8.235
NA,O,0.01,0.766,0.013,1.2039,0.1694,0.4,8
