soiltexture.abbr,Name,Cl,ClLo,Lo,LoSa,Sa,SaCl,SaClLo,SaLo,Si,SiCl,SiClLo,SiLo
TextureClass,Name,Clay,C loam,Loam,L Sand,Sand,S Clay,S C L,S loam,Silt,Si Clay,Si C L,Si Loam
"""N""",N,84,140,242,201,308,11,87,476,6,28,172,330
"""----theta r----CM3/CM3""",theta.r,0.098,0.079,0.061,0.049,0.053,0.117,0.063,0.039,0.05,0.111,0.09,0.065
"""----theta s----CM3/CM3""",theta.s,0.459,0.442,0.399,0.39,0.375,0.385,0.384,0.387,0.489,0.481,0.482,0.439
"""---LOG(alpha)---LOG(1/cm)""",log.alpha,-1.825,-1.801,-1.954,-1.459,-1.453,-1.476,-1.676,-1.574,-2.182,-1.79,-2.076,-2.296
"""---LOG(n) ---LOG10""",log.n,0.098,0.151,0.168,0.242,0.502,0.082,0.124,0.161,0.225,0.121,0.182,0.221
"""----Ks----LOG(cm/day)""",log.Ks,1.169,0.913,1.081,2.022,2.808,1.055,1.12,1.583,1.641,0.983,1.046,1.261
"""----Ko----LOG(cm/day)""",log.Ko,0.472,0.699,0.568,1.386,1.389,0.637,0.841,1.19,0.524,0.501,0.349,0.243
"""----L----""",L,-1.561,-0.763,-0.371,-0.874,-0.93,-3.665,-1.28,-0.861,0.624,-1.287,-0.156,0.365
